post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,138,10,armanified,2026-04-06 09:19:04.018854,12.545454545454545,False
47655392,"Show HN: YouTube search barely works, I made a search form with advanced filters",entertainment,107,73,nevernothing,2026-04-06 09:19:05.627421,1.445945945945946,False
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,7,1,MoltenMonster,2026-04-06 09:19:06.388234,3.5,False
47637377,LÖVE: 2D Game Framework for Lua,sports,234,92,cl3misch,2026-04-06 09:19:07.156767,2.5161290322580645,True
47649721,Artemis II crew see first glimpse of far side of Moon [video],science,441,335,mooreds,2026-04-06 09:19:08.710339,1.3125,True
47648828,"Eight years of wanting, three months of building with AI",technology,676,210,brilee,2026-04-06 09:19:09.500530,3.203791469194313,True
47636765,Endian wars and anti-portability: this again?,technology,30,21,awilfox,2026-04-06 09:19:10.418646,1.3636363636363635,False
47655329,"Copilot is 'for entertainment purposes only', per Microsoft's terms of use",technology,44,12,airstrike,2026-04-06 09:19:11.214733,3.3846153846153846,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,27,1,ikessler,2026-04-06 09:19:12.025087,13.5,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,216,55,vbtechguy,2026-04-06 09:19:12.875374,3.857142857142857,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,114,47,thisislife2,2026-04-06 09:19:13.797970,2.375,False
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",sports,20,2,mohshomis,2026-04-06 09:19:16.460286,6.666666666666667,False
47637077,Scientists mapped all the nerves of the clitoris for the first time,science,20,3,01-_-,2026-04-06 09:19:17.384576,5.0,False
47652322,Music for Programming,entertainment,123,51,merusame,2026-04-06 09:19:19.325136,2.3653846153846154,False
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,114,69,1vuio0pswjnm7,2026-04-06 09:19:21.231849,1.6285714285714286,False
47650502,Computational Physics (2nd Edition) (2025),science,113,17,teleforce,2026-04-06 09:19:23.859849,6.277777777777778,False
47650312,A tail-call interpreter in (nightly) Rust,technology,135,23,g0xA52A2A,2026-04-06 09:19:24.865671,5.625,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,174,24,desideratum,2026-04-06 09:19:26.720999,6.96,False
47655721,LLMs can't justify their answers–this CLI forces them to,technology,7,5,volatilityfund,2026-04-06 09:19:29.260518,1.1666666666666667,False
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,technology,14,1,hudsongr,2026-04-06 09:19:33.765489,7.0,False
